"Descritor ID","Descrição do Descritor","Área do Conhecimento"
"D1","Identificar a localização e movimentação de objeto em mapas, croquis e outras representações gráficas.","Espaço e Forma"
"D2","Identificar propriedades comuns e diferenças entre figuras bidimensionais e tridimensionais, relacionando-as com suas planificações.","Espaço e Forma"
"D3","Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.","Espaço e Forma"
"D4","Identificar relação entre quadriláteros por meio de suas propriedades.","Espaço e Forma"
"D5","Reconhecer a conservação ou modificação de medidas dos lados, do perímetro, da área em ampliação e/ou redução de figuras poligonais usando malhas quadriculadas.","Espaço e Forma"
"D6","Reconhecer ângulos como mudança de direção ou giros, identificando ângulos retos e não retos.","Espaço e Forma"
"D7","Reconhecer que as imagens de uma figura construída por uma transformação homotética são semelhantes, identificando propriedades e/ou medidas que se modificam ou não se alteram.","Espaço e Forma"
"D8","Resolver problema utilizando a propriedade dos polígonos (soma de seus ângulos internos, número de diagonais, cálculo da medida de cada ângulo interno nos polígonos regulares).","Espaço e Forma"
"D9","Interpretar informações apresentadas por meio de coordenadas cartesianas.","Espaço e Forma"
"D10","Utilizar relações métricas do triângulo retângulo para resolver problemas significativos.","Espaço e Forma"
"D11","Reconhecer círculo e circunferência, seus elementos e algumas de suas relações.","Espaço e Forma"
"D12","Resolver problema envolvendo o cálculo de perímetro de figuras planas.","Espaço e Forma"
"D13","Resolver problema envolvendo o cálculo de área de figuras planas.","Espaço e Forma"
"D14","Resolver problema envolvendo noções de volume.","Espaço e Forma"
"D15","Resolver problema envolvendo relações entre diferentes unidades de medida.","Grandezas e Medidas"
"D16","Identificar a localização de números inteiros na reta numérica.","Números e Operações"
"D17","Identificar a localização de números racionais na reta numérica.","Números e Operações"
"D18","Efetuar cálculos com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão e potenciação).","Números e Operações"
"D19","Resolver problema com números naturais envolvendo diferentes significados das operações (adição, subtração, multiplicação, divisão e potenciação).","Números e Operações"
"D20","Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão e potenciação).","Números e Operações"
"D21","Reconhecer as diferentes representações de um número racional.","Números e Operações"
"D22","Identificar fração como representação que pode estar associada a diferentes significados.","Números e Operações"
"D23","Identificar frações equivalentes.","Números e Operações"
"D24","Reconhecer as representações decimais dos números racionais como uma extensão do sistema de numeração decimal, identificando a existência de ""ordens"", como décimos, centésimos e milésimos.","Números e Operações"
"D25","Efetuar cálculos que envolvam operações com números racionais (adição, subtração, multiplicação, divisão e potenciação).","Números e Operações"
"D26","Resolver problema com números racionais que envolvam as operações (adição, subtração, multiplicação, divisão e potenciação).","Números e Operações"
"D27","Efetuar cálculos simples com valores aproximados de radicais.","Números e Operações"
"D28","Resolver problema que envolva porcentagem.","Números e Operações"
"D29","Resolver problema que envolva variações proporcionais, diretas ou inversas entre grandezas.","Grandezas e Medidas"
"D30","Calcular o valor numérico de uma expressão algébrica.","Álgebra"
"D31","Resolver problema que envolva equação de segundo grau.","Álgebra"
"D32","Identificar a expressão algébrica que expressa uma regularidade observada em sequências de números ou figuras (padrões).","Álgebra"
"D33","Identificar uma equação ou uma inequação de primeiro grau que expressa um problema.","Álgebra"
"D34","Identificar um sistema de equações do primeiro grau que expressa um problema.","Álgebra"
"D35","Identificar a relação entre as representações algébrica e geométrica de um sistema de equações de primeiro grau.","Álgebra"
"D36","Resolver problema envolvendo informações apresentadas em tabelas e/ou gráficos.","Tratamento da Informação"
"D37","Associar informações apresentadas em listas e/ou tabelas simples aos gráficos que as representam e vice-versa.","Tratamento da Informação"
