Código,Descrição da Habilidade
D01,Localizar informações explícitas em um texto.
D02,"Estabelecer relações entre partes de um texto, identificando repetições ou substituições que contribuem para a continuidade de um texto."
D03,Inferir o sentido de uma palavra ou expressão.
D04,Inferir uma informação implícita em um texto.
D05,"Interpretar texto com auxílio de material gráfico diverso (propagandas, quadrinhos, foto, etc.)."
D06,Identificar o tema de um texto.
D09,Diferenciar as partes principais das secundárias em um texto.
D10,Identificar o conflito gerador do enredo e os elementos que constroem a narrativa.
D11,Estabelecer relação causa/consequência entre partes e elementos do texto.
D12,Identificar a finalidade de textos de diferentes gêneros.
D13,Identificar as marcas linguísticas que evidenciam o locutor e o interlocutor de um texto.
D14,Distinguir um fato da opinião relativa a esse fato.
D15,"Estabelecer relações lógico-discursivas presentes no texto, marcadas por conjunções, advérbios, etc."
D16,Identificar efeitos de ironia ou humor em textos variados.
D17,Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.
D19,Reconhecer o efeito de sentido decorrente da exploração de recursos ortográficos e/ou morfossintáticos.
D20,"Reconhecer diferentes formas de tratar uma informação na comparação de textos que tratam do mesmo tema, em função das condições em que ele foi produzido e daquelas em que será recebido."
